,iso2,year,column,cases,sex,age
374,LC,2008,m514,0,m,5-14
375,LR,2008,m514,104,m,5-14
376,LS,2008,m514,21,m,5-14
377,LT,2005,m514,0,m,5-14
378,LT,2006,m514,0,m,5-14
379,LT,2007,m514,0,m,5-14
380,LT,2008,m514,0,m,5-14
381,LU,2005,m514,0,m,5-14
382,LU,2006,m514,0,m,5-14
383,LU,2007,m514,0,m,5-14
384,LU,2008,m514,0,m,5-14
385,LV,2005,m514,1,m,5-14
386,LV,2006,m514,2,m,5-14
387,LV,2008,m514,0,m,5-14
388,LY,2008,m514,1,m,5-14
389,MA,2008,m514,46,m,5-14
390,MD,2005,m514,2,m,5-14
391,MD,2007,m514,0,m,5-14
392,MD,2008,m514,1,m,5-14
393,ME,2005,m514,0,m,5-14
394,ME,2007,m514,0,m,5-14
395,ME,2008,m514,0,m,5-14
396,MG,2008,m514,121,m,5-14
397,MH,2008,m514,1,m,5-14
398,MK,2005,m514,2,m,5-14
399,MK,2006,m514,0,m,5-14
400,MK,2007,m514,1,m,5-14
401,MK,2008,m514,1,m,5-14
402,ML,2008,m514,20,m,5-14
403,MO,2008,m514,1,m,5-14
404,MP,2008,m514,0,m,5-14
405,MT,2005,m514,0,m,5-14
406,MT,2006,m514,0,m,5-14
407,MT,2007,m514,0,m,5-14
408,MT,2008,m514,0,m,5-14
409,MU,2008,m514,0,m,5-14
410,MX,2008,m514,62,m,5-14
411,MY,2008,m514,160,m,5-14
412,NC,2008,m514,0,m,5-14
413,NL,2005,m514,0,m,5-14
414,NL,2006,m514,0,m,5-14
415,NL,2007,m514,0,m,5-14
416,NL,2008,m514,0,m,5-14
417,NO,2005,m514,0,m,5-14
418,NO,2006,m514,0,m,5-14
419,NO,2008,m514,1,m,5-14
420,NR,2008,m514,0,m,5-14
421,NZ,2008,m514,0,m,5-14
422,OM,2008,m514,0,m,5-14
423,PE,2008,m514,74,m,5-14
424,PF,2008,m514,1,m,5-14
425,PL,2005,m514,1,m,5-14
426,PL,2006,m514,0,m,5-14
427,PL,2007,m514,2,m,5-14
428,PL,2008,m514,3,m,5-14
429,PR,2008,m514,0,m,5-14
430,PS,2008,m514,0,m,5-14
431,PT,2005,m514,2,m,5-14
432,PT,2006,m514,3,m,5-14
433,PT,2007,m514,3,m,5-14
434,PT,2008,m514,1,m,5-14
435,PY,2008,m514,8,m,5-14
436,QA,2008,m514,1,m,5-14
437,RO,2005,m514,26,m,5-14
438,RO,2006,m514,21,m,5-14
439,RO,2008,m514,14,m,5-14
440,RS,2005,m514,3,m,5-14
441,RS,2006,m514,4,m,5-14
442,RS,2007,m514,0,m,5-14
443,RS,2008,m514,1,m,5-14
444,RU,2008,m514,11,m,5-14
445,SB,2008,m514,3,m,5-14
446,SC,2008,m514,0,m,5-14
447,SD,2008,m514,277,m,5-14
448,SE,2005,m514,0,m,5-14
449,SE,2006,m514,0,m,5-14
450,SE,2007,m514,0,m,5-14
451,SE,2008,m514,0,m,5-14
452,SG,2008,m514,0,m,5-14
453,SI,2005,m514,0,m,5-14
454,SI,2006,m514,0,m,5-14
455,SI,2007,m514,0,m,5-14
456,SI,2008,m514,0,m,5-14
457,SK,2005,m514,0,m,5-14
458,SK,2006,m514,3,m,5-14
459,SK,2007,m514,0,m,5-14
460,SK,2008,m514,0,m,5-14
461,SN,2008,m514,65,m,5-14
462,SV,2008,m514,8,m,5-14
463,SZ,2008,m514,28,m,5-14
464,TJ,2005,m514,8,m,5-14
465,TJ,2008,m514,7,m,5-14
466,TM,2005,m514,2,m,5-14
467,TM,2007,m514,2,m,5-14
468,TO,2008,m514,0,m,5-14
469,TR,2005,m514,32,m,5-14
470,TR,2006,m514,38,m,5-14
471,TR,2007,m514,37,m,5-14
472,TR,2008,m514,41,m,5-14
473,TT,2008,m514,2,m,5-14
474,TV,2008,m514,2,m,5-14
475,UA,2007,m514,9,m,5-14
476,UG,2008,m514,269,m,5-14
477,US,2008,m514,7,m,5-14
478,UY,2008,m514,1,m,5-14
479,UZ,2007,m514,18,m,5-14
480,VE,2008,m514,18,m,5-14
481,ZA,2008,m514,1519,m,5-14
482,AD,2005,m1524,0,m,15-24
483,AD,2006,m1524,1,m,15-24
484,AD,2008,m1524,0,m,15-24
485,AE,2008,m1524,6,m,15-24
486,AL,2005,m1524,26,m,15-24
487,AL,2006,m1524,24,m,15-24
488,AL,2007,m1524,19,m,15-24
489,AM,2005,m1524,170,m,15-24
490,AM,2006,m1524,113,m,15-24
491,AM,2007,m1524,81,m,15-24
492,AM,2008,m1524,53,m,15-24
493,AR,2008,m1524,633,m,15-24
494,AT,2005,m1524,32,m,15-24
495,AT,2006,m1524,9,m,15-24
496,AZ,2005,m1524,109,m,15-24
497,AZ,2006,m1524,241,m,15-24
498,BA,2005,m1524,22,m,15-24
499,BA,2006,m1524,40,m,15-24
500,BA,2007,m1524,0,m,15-24
501,BA,2008,m1524,20,m,15-24
502,BB,2008,m1524,0,m,15-24
503,BE,2005,m1524,26,m,15-24
504,BE,2006,m1524,26,m,15-24
505,BE,2008,m1524,23,m,15-24
506,BG,2005,m1524,98,m,15-24
507,BG,2008,m1524,80,m,15-24
508,BH,2008,m1524,17,m,15-24
509,BN,2008,m1524,10,m,15-24
510,BR,2008,m1524,4436,m,15-24
511,BS,2008,m1524,2,m,15-24
512,BW,2008,m1524,254,m,15-24
513,BZ,2008,m1524,8,m,15-24
514,CA,2008,m1524,39,m,15-24
515,CH,2005,m1524,10,m,15-24
516,CH,2006,m1524,11,m,15-24
517,CH,2007,m1524,11,m,15-24
518,CH,2008,m1524,8,m,15-24
519,CM,2008,m1524,1613,m,15-24
520,CY,2005,m1524,3,m,15-24
521,CY,2006,m1524,0,m,15-24
522,CY,2007,m1524,2,m,15-24
523,CY,2008,m1524,1,m,15-24
524,CZ,2005,m1524,8,m,15-24
525,CZ,2006,m1524,6,m,15-24
526,CZ,2007,m1524,14,m,15-24
527,CZ,2008,m1524,7,m,15-24
528,DE,2005,m1524,59,m,15-24
529,DE,2006,m1524,78,m,15-24
530,DE,2007,m1524,116,m,15-24
531,DE,2008,m1524,40,m,15-24
532,DK,2005,m1524,12,m,15-24
533,DK,2006,m1524,8,m,15-24
534,DK,2007,m1524,6,m,15-24
535,DK,2008,m1524,8,m,15-24
536,DM,2008,m1524,0,m,15-24
537,DO,2008,m1524,322,m,15-24
538,EE,2005,m1524,9,m,15-24
539,EE,2006,m1524,4,m,15-24
540,EE,2007,m1524,6,m,15-24
541,EE,2008,m1524,3,m,15-24
542,EG,2008,m1524,581,m,15-24
543,ES,2005,m1524,166,m,15-24
544,ES,2006,m1524,142,m,15-24
545,ES,2007,m1524,184,m,15-24
546,ES,2008,m1524,179,m,15-24
547,FI,2005,m1524,5,m,15-24
548,FI,2006,m1524,5,m,15-24
549,FI,2007,m1524,4,m,15-24
550,FI,2008,m1524,3,m,15-24
551,FM,2008,m1524,9,m,15-24
552,FR,2005,m1524,127,m,15-24
553,FR,2006,m1524,137,m,15-24
554,FR,2007,m1524,120,m,15-24
555,FR,2008,m1524,73,m,15-24
556,GB,2005,m1524,135,m,15-24
557,GB,2006,m1524,173,m,15-24
558,GB,2007,m1524,183,m,15-24
559,GB,2008,m1524,125,m,15-24
560,GE,2006,m1524,315,m,15-24
561,GE,2007,m1524,277,m,15-24
562,GE,2008,m1524,710,m,15-24
563,GM,2008,m1524,151,m,15-24
564,GR,2005,m1524,14,m,15-24
565,GR,2006,m1524,11,m,15-24
566,GR,2007,m1524,21,m,15-24
567,GR,2008,m1524,5,m,15-24
568,GT,2008,m1524,220,m,15-24
569,GU,2008,m1524,0,m,15-24
570,GY,2008,m1524,29,m,15-24
571,HK,2008,m1524,59,m,15-24
572,HN,2008,m1524,254,m,15-24
573,HR,2005,m1524,24,m,15-24
574,HR,2006,m1524,20,m,15-24
575,HR,2008,m1524,15,m,15-24
576,HT,2008,m1524,1137,m,15-24
577,HU,2005,m1524,6,m,15-24
578,HU,2006,m1524,10,m,15-24
579,HU,2007,m1524,7,m,15-24
580,HU,2008,m1524,12,m,15-24
581,ID,2008,m1524,15339,m,15-24
582,IE,2005,m1524,6,m,15-24
583,IE,2006,m1524,8,m,15-24
584,IE,2007,m1524,26,m,15-24
585,IE,2008,m1524,9,m,15-24
586,IL,2005,m1524,5,m,15-24
587,IL,2006,m1524,3,m,15-24
588,IL,2007,m1524,9,m,15-24
589,IL,2008,m1524,14,m,15-24
590,IQ,2008,m1524,348,m,15-24
591,IR,2008,m1524,292,m,15-24
592,IS,2005,m1524,0,m,15-24
593,IS,2006,m1524,0,m,15-24
594,IS,2007,m1524,0,m,15-24
595,IS,2008,m1524,0,m,15-24
596,IT,2005,m1524,93,m,15-24
597,IT,2006,m1524,113,m,15-24
598,IT,2007,m1524,75,m,15-24
599,IT,2008,m1524,78,m,15-24
600,JM,2008,m1524,2,m,15-24
601,JO,2008,m1524,13,m,15-24
602,JP,2008,m1524,117,m,15-24
603,KE,2008,m1524,4709,m,15-24
604,KG,2005,m1524,247,m,15-24
605,KI,2008,m1524,30,m,15-24
606,KM,2008,m1524,11,m,15-24
607,KN,2008,m1524,0,m,15-24
608,KP,2008,m1524,2341,m,15-24
609,KR,2008,m1524,492,m,15-24
610,KW,2008,m1524,18,m,15-24
611,KZ,2005,m1524,917,m,15-24
612,KZ,2007,m1524,881,m,15-24
613,KZ,2008,m1524,897,m,15-24
614,LB,2008,m1524,9,m,15-24
615,LC,2008,m1524,2,m,15-24
616,LR,2008,m1524,129,m,15-24
617,LS,2008,m1524,223,m,15-24
618,LT,2005,m1524,42,m,15-24
619,LT,2006,m1524,38,m,15-24
620,LT,2007,m1524,31,m,15-24
621,LT,2008,m1524,39,m,15-24
622,LU,2005,m1524,0,m,15-24
623,LU,2006,m1524,0,m,15-24
624,LU,2007,m1524,0,m,15-24
625,LU,2008,m1524,0,m,15-24
626,LV,2005,m1524,22,m,15-24
627,LV,2006,m1524,27,m,15-24
628,LV,2008,m1524,28,m,15-24
629,LY,2008,m1524,116,m,15-24
630,MA,2008,m1524,1992,m,15-24
631,MD,2005,m1524,211,m,15-24
632,MD,2007,m1524,181,m,15-24
633,MD,2008,m1524,167,m,15-24
634,ME,2005,m1524,3,m,15-24
635,ME,2007,m1524,0,m,15-24
636,ME,2008,m1524,2,m,15-24
637,MG,2008,m1524,1499,m,15-24
638,MH,2008,m1524,1,m,15-24
639,MK,2005,m1524,14,m,15-24
640,MK,2006,m1524,15,m,15-24
641,MK,2007,m1524,12,m,15-24
642,MK,2008,m1524,18,m,15-24
643,ML,2008,m1524,453,m,15-24
644,MO,2008,m1524,18,m,15-24
645,MP,2008,m1524,1,m,15-24
646,MT,2005,m1524,1,m,15-24
647,MT,2006,m1524,1,m,15-24
648,MT,2007,m1524,0,m,15-24
649,MT,2008,m1524,3,m,15-24
650,MU,2008,m1524,11,m,15-24
651,MX,2008,m1524,966,m,15-24
652,MY,2008,m1524,1436,m,15-24
653,NC,2008,m1524,1,m,15-24
654,NL,2005,m1524,23,m,15-24
655,NL,2006,m1524,25,m,15-24
656,NL,2007,m1524,10,m,15-24
657,NL,2008,m1524,16,m,15-24
658,NO,2005,m1524,9,m,15-24
659,NO,2006,m1524,5,m,15-24
660,NO,2008,m1524,10,m,15-24
661,NR,2008,m1524,1,m,15-24
662,NZ,2008,m1524,9,m,15-24
663,OM,2008,m1524,18,m,15-24
664,PE,2008,m1524,3406,m,15-24
665,PF,2008,m1524,3,m,15-24
666,PL,2005,m1524,109,m,15-24
667,PL,2006,m1524,92,m,15-24
668,PL,2007,m1524,85,m,15-24
669,PL,2008,m1524,66,m,15-24
670,PR,2008,m1524,2,m,15-24
671,PS,2008,m1524,1,m,15-24
672,PT,2005,m1524,85,m,15-24
673,PT,2006,m1524,80,m,15-24
674,PT,2007,m1524,69,m,15-24
675,PT,2008,m1524,51,m,15-24
676,PY,2008,m1524,238,m,15-24
677,QA,2008,m1524,47,m,15-24
678,RO,2005,m1524,752,m,15-24
679,RO,2006,m1524,748,m,15-24
680,RO,2008,m1524,671,m,15-24
681,RS,2005,m1524,62,m,15-24
682,RS,2006,m1524,87,m,15-24
683,RS,2007,m1524,42,m,15-24
684,RS,2008,m1524,37,m,15-24
685,RU,2008,m1524,2495,m,15-24
686,SB,2008,m1524,17,m,15-24
687,SC,2008,m1524,0,m,15-24
688,SD,2008,m1524,1241,m,15-24
689,SE,2005,m1524,7,m,15-24
690,SE,2006,m1524,4,m,15-24
691,SE,2007,m1524,7,m,15-24
692,SE,2008,m1524,14,m,15-24
693,SG,2008,m1524,10,m,15-24
694,SI,2005,m1524,4,m,15-24
695,SI,2006,m1524,3,m,15-24
696,SI,2007,m1524,0,m,15-24
697,SI,2008,m1524,3,m,15-24
698,SK,2005,m1524,3,m,15-24
699,SK,2006,m1524,8,m,15-24
700,SK,2007,m1524,8,m,15-24
701,SK,2008,m1524,2,m,15-24
702,SN,2008,m1524,1274,m,15-24
703,SV,2008,m1524,107,m,15-24
704,SZ,2008,m1524,231,m,15-24
705,TJ,2005,m1524,308,m,15-24
706,TJ,2008,m1524,437,m,15-24
707,TM,2005,m1524,148,m,15-24
708,TM,2007,m1524,176,m,15-24
709,TO,2008,m1524,2,m,15-24
710,TR,2005,m1524,1148,m,15-24
711,TR,2006,m1524,1212,m,15-24
712,TR,2007,m1524,1091,m,15-24
713,TR,2008,m1524,940,m,15-24
714,TT,2008,m1524,9,m,15-24
715,TV,2008,m1524,2,m,15-24
716,UA,2007,m1524,1556,m,15-24
717,UG,2008,m1524,1953,m,15-24
718,US,2008,m1524,375,m,15-24
